Jugadora,Mes,Fecha,Tipo,DistTotal_m,DistAltaVel_m,Sprints,Acel_Alta,Decel_Alta,CargaMetabolica,DistPorMin
Garazi Iraia Díaz,December,2025-12-26,E,6630,776,2,17,23,8288,88.41
Enith Urruzola Elexpuru,December,2025-12-26,E,6405,752,5,33,38,8006,85.4
Amaiur Putellas Sampedro,December,2025-12-26,E,6765,352,0,13,25,8456,90.2
Garazi Gil Padrón,December,2025-12-26,E,7634,671,3,50,53,9542,101.79
Adriana Putellas Coll,December,2025-12-26,E,7168,653,4,42,29,8960,95.58
Lola Zubeldia Ojeda,December,2025-12-26,E,6856,384,7,51,29,8571,91.42
Inés Rius Badiola,December,2025-12-28,P,2015,168,12,38,24,2518,21.21
Berta Damaris Zubeldia,December,2025-12-28,P,2952,321,13,35,45,3690,31.07
Triana Duggan Cano,December,2025-12-28,P,11737,1254,15,11,15,14671,123.55
Feller Caldentey Rubio,December,2025-12-28,P,11189,751,24,33,13,13986,117.78
Olga Sampedro Méndez,December,2025-12-28,P,11272,740,13,48,45,14091,118.66
Esther Banini Valls,December,2025-12-28,P,11991,763,22,57,56,14989,126.23
Amaia Gutiérrez Peña,December,2025-12-28,P,13675,1097,10,38,47,17094,143.96
Lucía Rodríguez Szymanowski,December,2025-12-28,P,13782,1486,3,14,31,17228,145.08
Sheila Vidal Gabarro,December,2025-12-28,P,13899,815,29,41,58,17374,146.31
Enith Landaluze Goiria,December,2025-12-28,P,12974,1300,9,53,30,16217,136.57
Lorena Méndez Molina,December,2025-12-28,P,11850,1288,3,28,25,14812,124.74
Garazi Iraia Díaz,December,2025-12-28,P,14344,1335,2,24,46,17930,151.0
Enith Urruzola Elexpuru,December,2025-12-28,P,14749,1442,2,42,23,18436,155.26
Amaiur Putellas Sampedro,December,2025-12-28,P,13447,1208,10,35,20,16809,141.55
Garazi Gil Padrón,December,2025-12-28,P,15156,1265,1,37,25,18945,159.54
Adriana Putellas Coll,December,2025-12-28,P,12944,872,15,10,55,16181,136.26
Lola Zubeldia Ojeda,December,2025-12-28,P,14720,1727,11,28,29,18400,154.95
Inés Rius Badiola,December,2025-12-29,E,3171,199,3,10,13,3963,42.28
Berta Damaris Zubeldia,December,2025-12-29,E,2188,259,3,59,36,2735,29.17
Triana Duggan Cano,December,2025-12-29,E,6122,681,7,43,42,7653,81.64
Feller Caldentey Rubio,December,2025-12-29,E,5705,511,3,25,39,7131,76.07
Olga Sampedro Méndez,December,2025-12-29,E,5374,522,1,19,57,6718,71.66
Esther Banini Valls,December,2025-12-29,E,5824,338,4,21,27,7280,77.66
Amaia Gutiérrez Peña,December,2025-12-29,E,6770,488,4,29,54,8463,90.28
Lucía Rodríguez Szymanowski,December,2025-12-29,E,6490,436,3,19,32,8113,86.54
Sheila Vidal Gabarro,December,2025-12-29,E,6774,545,4,15,37,8467,90.32
Enith Landaluze Goiria,December,2025-12-29,E,7345,784,2,31,21,9181,97.94
Lorena Méndez Molina,December,2025-12-29,E,5995,644,5,38,13,7493,79.94
Ivana Pujol Muñoz,December,2025-12-29,E,7471,618,2,37,54,9339,99.62
Garazi Iraia Díaz,December,2025-12-29,E,6543,399,1,37,54,8179,87.25
Enith Urruzola Elexpuru,December,2025-12-29,E,6515,642,3,31,18,8144,86.88
Amaiur Putellas Sampedro,December,2025-12-29,E,6836,467,1,12,51,8545,91.15
Adriana Putellas Coll,December,2025-12-29,E,6388,520,0,10,28,7985,85.18
Lola Zubeldia Ojeda,December,2025-12-29,E,7499,880,4,22,28,9374,100.0
Inés Rius Badiola,December,2025-12-30,E,2086,129,6,34,32,2607,27.81
Berta Damaris Zubeldia,December,2025-12-30,E,3272,207,1,16,36,4090,43.63
Triana Duggan Cano,December,2025-12-30,E,5672,508,2,59,33,7091,75.64
Feller Caldentey Rubio,December,2025-12-30,E,5245,290,4,56,12,6556,69.94
Olga Sampedro Méndez,December,2025-12-30,E,5437,289,0,41,30,6796,72.5
Esther Banini Valls,December,2025-12-30,E,5031,549,2,39,49,6288,67.08
Amaia Gutiérrez Peña,December,2025-12-30,E,7356,834,4,53,50,9196,98.09
Lucía Rodríguez Szymanowski,December,2025-12-30,E,6850,741,1,41,32,8563,91.34
Sheila Vidal Gabarro,December,2025-12-30,E,7240,683,5,49,13,9050,96.54
Enith Landaluze Goiria,December,2025-12-30,E,7665,498,4,51,56,9581,102.21
Lorena Méndez Molina,December,2025-12-30,E,5367,362,7,16,49,6709,71.57
Ivana Pujol Muñoz,December,2025-12-30,E,6466,426,3,50,55,8082,86.22
Garazi Iraia Díaz,December,2025-12-30,E,6376,764,4,41,44,7971,85.03
Enith Urruzola Elexpuru,December,2025-12-30,E,6575,470,4,47,27,8219,87.68
Amaiur Putellas Sampedro,December,2025-12-30,E,6626,347,0,58,17,8282,88.35
Garazi Gil Padrón,December,2025-12-30,E,7244,756,6,22,46,9055,96.59
Adriana Putellas Coll,December,2025-12-30,E,6719,360,1,50,13,8398,89.59
Lola Zubeldia Ojeda,December,2025-12-30,E,6794,777,0,22,45,8493,90.6
Inés Rius Badiola,December,2025-12-31,E,2629,266,6,23,28,3286,35.05
Berta Damaris Zubeldia,December,2025-12-31,E,3178,193,3,35,21,3972,42.37
Triana Duggan Cano,December,2025-12-31,E,5218,386,3,40,27,6523,69.58
Olga Sampedro Méndez,December,2025-12-31,E,6100,629,6,50,24,7625,81.33
Esther Banini Valls,December,2025-12-31,E,5699,586,2,30,55,7124,75.99
Amaia Gutiérrez Peña,December,2025-12-31,E,7328,786,2,26,39,9160,97.71
Lucía Rodríguez Szymanowski,December,2025-12-31,E,6452,383,7,21,33,8066,86.04
Sheila Vidal Gabarro,December,2025-12-31,E,6938,456,3,41,49,8673,92.51
Enith Landaluze Goiria,December,2025-12-31,E,6639,563,0,48,24,8298,88.52
Lorena Méndez Molina,December,2025-12-31,E,5112,543,3,56,58,6390,68.16
Ivana Pujol Muñoz,December,2025-12-31,E,6940,404,0,21,42,8676,92.55
Garazi Iraia Díaz,December,2025-12-31,E,7259,364,6,54,59,9073,96.79
Enith Urruzola Elexpuru,December,2025-12-31,E,6640,568,5,30,15,8300,88.54
Amaiur Putellas Sampedro,December,2025-12-31,E,6593,611,5,14,32,8241,87.91
Garazi Gil Padrón,December,2025-12-31,E,6371,717,6,47,44,7964,84.96
Adriana Putellas Coll,December,2025-12-31,E,6578,749,2,29,46,8223,87.72
Lola Zubeldia Ojeda,December,2025-12-31,E,6420,733,4,40,32,8025,85.61
Inés Rius Badiola,January,2026-01-01,E,3098,273,5,53,46,3872,41.31
Berta Damaris Zubeldia,January,2026-01-01,E,3351,266,5,13,44,4188,44.68
Triana Duggan Cano,January,2026-01-01,E,5341,301,7,37,27,6676,71.21
Feller Caldentey Rubio,January,2026-01-01,E,5701,464,2,40,24,7126,76.01
Esther Banini Valls,January,2026-01-01,E,5073,405,0,34,46,6342,67.65
Amaia Gutiérrez Peña,January,2026-01-01,E,7500,517,3,46,33,9375,100.01
Lucía Rodríguez Szymanowski,January,2026-01-01,E,6939,494,2,25,19,8674,92.53
Sheila Vidal Gabarro,January,2026-01-01,E,6529,374,6,22,34,8161,87.05
Enith Landaluze Goiria,January,2026-01-01,E,6858,587,4,57,22,8572,91.44
Lorena Méndez Molina,January,2026-01-01,E,5651,572,7,13,21,7064,75.35
Ivana Pujol Muñoz,January,2026-01-01,E,7330,424,4,34,37,9162,97.74
Garazi Iraia Díaz,January,2026-01-01,E,7651,659,1,41,56,9564,102.03
Enith Urruzola Elexpuru,January,2026-01-01,E,7415,475,5,33,51,9269,98.88
Amaiur Putellas Sampedro,January,2026-01-01,E,7288,365,1,52,40,9110,97.18
Adriana Putellas Coll,January,2026-01-01,E,6593,529,3,47,27,8241,87.91
Lola Zubeldia Ojeda,January,2026-01-01,E,7100,484,5,30,35,8876,94.68
Berta Damaris Zubeldia,January,2026-01-02,E,2072,213,2,33,50,2590,27.63
Triana Duggan Cano,January,2026-01-02,E,5052,377,2,35,22,6316,67.37
Feller Caldentey Rubio,January,2026-01-02,E,6267,356,4,44,57,7834,83.57
Olga Sampedro Méndez,January,2026-01-02,E,5015,262,4,59,17,6269,66.87
Esther Banini Valls,January,2026-01-02,E,5693,556,0,29,27,7117,75.92
Amaia Gutiérrez Peña,January,2026-01-02,E,6864,609,3,24,50,8580,91.53
Lucía Rodríguez Szymanowski,January,2026-01-02,E,7556,501,4,29,20,9446,100.76
Enith Landaluze Goiria,January,2026-01-02,E,6388,426,1,18,28,7985,85.18
Lorena Méndez Molina,January,2026-01-02,E,5458,582,2,16,44,6823,72.79
Ivana Pujol Muñoz,January,2026-01-02,E,6932,780,2,57,56,8665,92.43
Garazi Iraia Díaz,January,2026-01-02,E,7080,545,7,15,40,8851,94.41
Enith Urruzola Elexpuru,January,2026-01-02,E,7252,477,5,48,41,9065,96.7
Amaiur Putellas Sampedro,January,2026-01-02,E,6369,386,3,52,57,7962,84.93
Garazi Gil Padrón,January,2026-01-02,E,7001,356,0,13,57,8751,93.35
Adriana Putellas Coll,January,2026-01-02,E,7227,473,5,16,17,9034,96.37
Lola Zubeldia Ojeda,January,2026-01-02,E,6490,530,5,31,39,8113,86.54
Inés Rius Badiola,January,2026-01-04,P,2024,117,10,15,28,2530,21.31
Berta Damaris Zubeldia,January,2026-01-04,P,2897,239,10,16,26,3621,30.49
Triana Duggan Cano,January,2026-01-04,P,11835,607,16,15,15,14794,124.59
Feller Caldentey Rubio,January,2026-01-04,P,10125,951,13,20,24,12656,106.58
Olga Sampedro Méndez,January,2026-01-04,P,10778,541,0,55,32,13472,113.45
Esther Banini Valls,January,2026-01-04,P,11920,1091,2,29,43,14900,125.48
Amaia Gutiérrez Peña,January,2026-01-04,P,15020,1574,20,11,13,18776,158.12
Lucía Rodríguez Szymanowski,January,2026-01-04,P,15123,1459,15,46,45,18904,159.2
Sheila Vidal Gabarro,January,2026-01-04,P,14112,1677,29,32,36,17640,148.56
Enith Landaluze Goiria,January,2026-01-04,P,12845,772,8,47,40,16056,135.22
Lorena Méndez Molina,January,2026-01-04,P,12457,1451,28,16,57,15571,131.13
Ivana Pujol Muñoz,January,2026-01-04,P,15032,1605,3,48,38,18790,158.23
Garazi Iraia Díaz,January,2026-01-04,P,14543,1279,17,30,24,18179,153.09
Enith Urruzola Elexpuru,January,2026-01-04,P,14612,1582,18,11,58,18265,153.81
Amaiur Putellas Sampedro,January,2026-01-04,P,14067,1588,11,32,37,17584,148.08
Garazi Gil Padrón,January,2026-01-04,P,13871,1379,15,20,54,17339,146.02
Adriana Putellas Coll,January,2026-01-04,P,13827,907,25,14,53,17283,145.55
Lola Zubeldia Ojeda,January,2026-01-04,P,14006,1083,29,33,17,17508,147.44
Inés Rius Badiola,January,2026-01-05,E,3017,274,1,26,50,3771,40.23
Berta Damaris Zubeldia,January,2026-01-05,E,3419,227,2,53,10,4273,45.59
Triana Duggan Cano,January,2026-01-05,E,5219,271,0,35,20,6524,69.59
Feller Caldentey Rubio,January,2026-01-05,E,5426,286,0,35,17,6783,72.36
Olga Sampedro Méndez,January,2026-01-05,E,5304,387,2,43,36,6630,70.73
Esther Banini Valls,January,2026-01-05,E,5797,533,7,35,29,7246,77.3
Amaia Gutiérrez Peña,January,2026-01-05,E,7636,460,1,58,27,9545,101.82
Lucía Rodríguez Szymanowski,January,2026-01-05,E,7462,756,6,26,56,9328,99.5
Sheila Vidal Gabarro,January,2026-01-05,E,7156,587,5,34,51,8945,95.41
Enith Landaluze Goiria,January,2026-01-05,E,6365,454,4,26,25,7956,84.87
Lorena Méndez Molina,January,2026-01-05,E,4921,574,1,31,33,6151,65.62
Ivana Pujol Muñoz,January,2026-01-05,E,6720,644,6,25,35,8400,89.6
Garazi Iraia Díaz,January,2026-01-05,E,7330,545,1,35,27,9162,97.74
Enith Urruzola Elexpuru,January,2026-01-05,E,6630,526,6,56,23,8287,88.4
Amaiur Putellas Sampedro,January,2026-01-05,E,7376,481,3,23,34,9221,98.36
Garazi Gil Padrón,January,2026-01-05,E,6563,623,0,14,31,8203,87.51
Adriana Putellas Coll,January,2026-01-05,E,7537,885,6,48,46,9421,100.5
Inés Rius Badiola,January,2026-01-06,E,2053,225,5,59,26,2566,27.37
Berta Damaris Zubeldia,January,2026-01-06,E,2377,179,7,49,23,2971,31.69
Triana Duggan Cano,January,2026-01-06,E,5463,311,0,22,17,6829,72.84
Olga Sampedro Méndez,January,2026-01-06,E,5940,675,3,11,45,7425,79.2
Esther Banini Valls,January,2026-01-06,E,5701,676,7,20,57,7127,76.02
Amaia Gutiérrez Peña,January,2026-01-06,E,6561,441,6,42,50,8201,87.48
Lucía Rodríguez Szymanowski,January,2026-01-06,E,7122,559,4,38,46,8903,94.97
Sheila Vidal Gabarro,January,2026-01-06,E,7269,655,2,47,25,9087,96.93
Enith Landaluze Goiria,January,2026-01-06,E,6445,443,6,35,26,8056,85.94
Lorena Méndez Molina,January,2026-01-06,E,4953,569,0,41,11,6192,66.05
Ivana Pujol Muñoz,January,2026-01-06,E,7142,660,0,47,13,8928,95.23
Garazi Iraia Díaz,January,2026-01-06,E,6652,757,0,48,43,8315,88.7
Enith Urruzola Elexpuru,January,2026-01-06,E,7565,905,7,51,37,9456,100.87
Amaiur Putellas Sampedro,January,2026-01-06,E,7103,637,7,40,43,8879,94.71
Garazi Gil Padrón,January,2026-01-06,E,7125,449,0,44,23,8906,95.01
Adriana Putellas Coll,January,2026-01-06,E,7272,464,4,28,43,9091,96.97
Lola Zubeldia Ojeda,January,2026-01-06,E,7329,489,0,18,52,9162,97.73
Inés Rius Badiola,January,2026-01-07,E,2401,224,7,12,56,3001,32.01
Berta Damaris Zubeldia,January,2026-01-07,E,3224,347,4,18,27,4030,42.99
Triana Duggan Cano,January,2026-01-07,E,5272,487,0,37,20,6590,70.3
Feller Caldentey Rubio,January,2026-01-07,E,5428,646,2,47,51,6786,72.38
Olga Sampedro Méndez,January,2026-01-07,E,6080,327,5,46,45,7600,81.08
Esther Banini Valls,January,2026-01-07,E,5620,634,7,37,34,7026,74.95
Amaia Gutiérrez Peña,January,2026-01-07,E,7115,704,6,59,35,8894,94.87
Lucía Rodríguez Szymanowski,January,2026-01-07,E,6816,506,0,33,14,8520,90.88
Sheila Vidal Gabarro,January,2026-01-07,E,6474,771,0,28,40,8092,86.32
Enith Landaluze Goiria,January,2026-01-07,E,6364,676,7,35,49,7956,84.86
Lorena Méndez Molina,January,2026-01-07,E,5684,637,2,18,44,7106,75.8
Ivana Pujol Muñoz,January,2026-01-07,E,7027,542,2,17,23,8784,93.7
Garazi Iraia Díaz,January,2026-01-07,E,7089,391,2,35,41,8861,94.53
Enith Urruzola Elexpuru,January,2026-01-07,E,6426,707,1,36,29,8033,85.69
Amaiur Putellas Sampedro,January,2026-01-07,E,6372,319,6,34,39,7965,84.96
Garazi Gil Padrón,January,2026-01-07,E,7188,736,1,29,32,8986,95.85
Adriana Putellas Coll,January,2026-01-07,E,6951,467,2,32,36,8689,92.69
Lola Zubeldia Ojeda,January,2026-01-07,E,6826,778,1,19,44,8532,91.01
Inés Rius Badiola,January,2026-01-08,E,2553,304,6,49,22,3191,34.04
Berta Damaris Zubeldia,January,2026-01-08,E,2982,157,7,39,18,3727,39.76
Triana Duggan Cano,January,2026-01-08,E,5245,284,1,38,52,6556,69.94
Feller Caldentey Rubio,January,2026-01-08,E,5243,286,2,44,49,6554,69.91
Olga Sampedro Méndez,January,2026-01-08,E,5474,519,7,48,38,6842,72.99
Esther Banini Valls,January,2026-01-08,E,5013,524,1,26,56,6267,66.85
Amaia Gutiérrez Peña,January,2026-01-08,E,7060,608,0,13,22,8825,94.14
Lucía Rodríguez Szymanowski,January,2026-01-08,E,7451,512,7,17,19,9314,99.35
Sheila Vidal Gabarro,January,2026-01-08,E,6635,580,3,31,27,8293,88.47
Enith Landaluze Goiria,January,2026-01-08,E,7639,689,0,31,56,9549,101.87
Lorena Méndez Molina,January,2026-01-08,E,5459,572,3,15,41,6824,72.79
Ivana Pujol Muñoz,January,2026-01-08,E,7099,391,5,53,56,8874,94.66
Garazi Iraia Díaz,January,2026-01-08,E,6645,628,6,22,53,8307,88.61
Enith Urruzola Elexpuru,January,2026-01-08,E,7152,647,1,34,59,8940,95.36
Amaiur Putellas Sampedro,January,2026-01-08,E,7655,401,4,50,46,9569,102.07
Garazi Gil Padrón,January,2026-01-08,E,6862,420,3,40,19,8578,91.5
Adriana Putellas Coll,January,2026-01-08,E,7526,517,4,48,58,9408,100.35
Lola Zubeldia Ojeda,January,2026-01-08,E,6340,684,2,53,38,7925,84.53
Inés Rius Badiola,January,2026-01-09,E,2822,302,5,33,34,3527,37.63
Berta Damaris Zubeldia,January,2026-01-09,E,3040,270,1,50,24,3800,40.53
Triana Duggan Cano,January,2026-01-09,E,6034,612,5,31,34,7542,80.45
Olga Sampedro Méndez,January,2026-01-09,E,4994,442,2,21,48,6243,66.6
Esther Banini Valls,January,2026-01-09,E,5476,419,5,37,12,6845,73.02
Amaia Gutiérrez Peña,January,2026-01-09,E,6320,481,6,29,52,7901,84.28
Lucía Rodríguez Szymanowski,January,2026-01-09,E,6980,818,5,20,22,8725,93.07
Sheila Vidal Gabarro,January,2026-01-09,E,6369,323,2,45,14,7961,84.93
Enith Landaluze Goiria,January,2026-01-09,E,7544,440,7,58,22,9430,100.6
Lorena Méndez Molina,January,2026-01-09,E,5645,597,2,42,40,7056,75.27
Ivana Pujol Muñoz,January,2026-01-09,E,7480,445,1,43,40,9350,99.74
Garazi Iraia Díaz,January,2026-01-09,E,6494,753,2,38,47,8117,86.59
Enith Urruzola Elexpuru,January,2026-01-09,E,6795,713,2,17,11,8493,90.6
Amaiur Putellas Sampedro,January,2026-01-09,E,7085,507,5,38,42,8856,94.47
Garazi Gil Padrón,January,2026-01-09,E,6647,651,7,30,52,8309,88.63
Adriana Putellas Coll,January,2026-01-09,E,7539,711,1,55,40,9424,100.53
Inés Rius Badiola,January,2026-01-11,P,2250,171,12,27,25,2812,23.68
Berta Damaris Zubeldia,January,2026-01-11,P,3377,193,12,38,42,4221,35.55
Triana Duggan Cano,January,2026-01-11,P,10800,1073,21,46,54,13500,113.69
Feller Caldentey Rubio,January,2026-01-11,P,9940,1142,20,20,55,12425,104.63
Olga Sampedro Méndez,January,2026-01-11,P,11954,1111,21,14,17,14943,125.84
Esther Banini Valls,January,2026-01-11,P,12452,1184,10,15,25,15565,131.08
Amaia Gutiérrez Peña,January,2026-01-11,P,14677,1374,17,25,46,18346,154.5
Lucía Rodríguez Szymanowski,January,2026-01-11,P,14306,1110,11,55,10,17882,150.59
Sheila Vidal Gabarro,January,2026-01-11,P,12616,847,26,21,30,15770,132.8
Enith Landaluze Goiria,January,2026-01-11,P,13679,1177,26,40,21,17099,144.0
Lorena Méndez Molina,January,2026-01-11,P,11075,595,29,31,24,13843,116.58
Garazi Iraia Díaz,January,2026-01-11,P,12914,1216,22,16,34,16143,135.94
Amaiur Putellas Sampedro,January,2026-01-11,P,12639,1135,13,31,28,15799,133.05
Garazi Gil Padrón,January,2026-01-11,P,14089,1613,5,26,54,17612,148.32
Adriana Putellas Coll,January,2026-01-11,P,14557,1657,3,23,19,18196,153.23
Lola Zubeldia Ojeda,January,2026-01-11,P,14841,939,2,53,38,18551,156.22
Inés Rius Badiola,January,2026-01-12,E,2829,258,3,17,21,3536,37.72
Berta Damaris Zubeldia,January,2026-01-12,E,3174,243,5,23,48,3967,42.32
Triana Duggan Cano,January,2026-01-12,E,4941,269,2,25,30,6176,65.88
Feller Caldentey Rubio,January,2026-01-12,E,5574,305,7,59,54,6968,74.33
Olga Sampedro Méndez,January,2026-01-12,E,5663,382,5,49,45,7079,75.52
Esther Banini Valls,January,2026-01-12,E,5434,643,4,50,25,6792,72.46
Amaia Gutiérrez Peña,January,2026-01-12,E,6893,402,1,27,10,8616,91.91
Lucía Rodríguez Szymanowski,January,2026-01-12,E,7291,860,2,34,21,9114,97.22
Sheila Vidal Gabarro,January,2026-01-12,E,6560,336,0,50,53,8200,87.47
Enith Landaluze Goiria,January,2026-01-12,E,7642,845,3,48,40,9553,101.9
Lorena Méndez Molina,January,2026-01-12,E,5948,302,7,19,32,7435,79.32
Ivana Pujol Muñoz,January,2026-01-12,E,6644,612,4,40,44,8305,88.59
Garazi Iraia Díaz,January,2026-01-12,E,6498,707,4,37,53,8123,86.65
Enith Urruzola Elexpuru,January,2026-01-12,E,6686,652,1,31,52,8357,89.15
Garazi Gil Padrón,January,2026-01-12,E,7009,367,2,21,11,8762,93.47
Adriana Putellas Coll,January,2026-01-12,E,6828,366,3,16,11,8535,91.04
Lola Zubeldia Ojeda,January,2026-01-12,E,7064,784,2,41,42,8830,94.19
Inés Rius Badiola,January,2026-01-13,E,2884,234,6,36,37,3605,38.45
Berta Damaris Zubeldia,January,2026-01-13,E,2459,220,7,10,49,3073,32.79
Triana Duggan Cano,January,2026-01-13,E,6279,582,5,39,36,7849,83.73
Feller Caldentey Rubio,January,2026-01-13,E,6165,484,2,45,29,7706,82.2
Olga Sampedro Méndez,January,2026-01-13,E,5728,320,3,56,36,7160,76.38
Esther Banini Valls,January,2026-01-13,E,5595,322,0,24,33,6994,74.61
Amaia Gutiérrez Peña,January,2026-01-13,E,7512,416,0,30,21,9390,100.17
Sheila Vidal Gabarro,January,2026-01-13,E,7214,515,6,45,40,9017,96.19
Enith Landaluze Goiria,January,2026-01-13,E,6664,354,3,31,21,8330,88.86
Lorena Méndez Molina,January,2026-01-13,E,5006,366,4,31,59,6258,66.75
Ivana Pujol Muñoz,January,2026-01-13,E,6428,339,4,55,37,8035,85.71
Garazi Iraia Díaz,January,2026-01-13,E,7373,705,7,15,14,9216,98.31
Enith Urruzola Elexpuru,January,2026-01-13,E,6938,550,5,46,34,8672,92.51
Amaiur Putellas Sampedro,January,2026-01-13,E,6358,569,7,57,56,7947,84.77
Garazi Gil Padrón,January,2026-01-13,E,6488,336,6,14,15,8111,86.52
Adriana Putellas Coll,January,2026-01-13,E,6839,562,3,45,12,8548,91.19
Lola Zubeldia Ojeda,January,2026-01-13,E,6464,488,0,14,18,8080,86.19
Inés Rius Badiola,January,2026-01-14,E,3481,198,1,27,52,4351,46.41
Berta Damaris Zubeldia,January,2026-01-14,E,2566,160,5,13,25,3207,34.21
Triana Duggan Cano,January,2026-01-14,E,5168,332,0,25,35,6460,68.91
Feller Caldentey Rubio,January,2026-01-14,E,6124,359,4,51,38,7655,81.66
Olga Sampedro Méndez,January,2026-01-14,E,5224,453,5,10,19,6530,69.66
Esther Banini Valls,January,2026-01-14,E,5218,280,3,17,32,6523,69.58
Amaia Gutiérrez Peña,January,2026-01-14,E,7470,598,6,57,54,9338,99.61
Lucía Rodríguez Szymanowski,January,2026-01-14,E,7457,714,2,27,15,9321,99.43
Lorena Méndez Molina,January,2026-01-14,E,5973,478,3,47,39,7466,79.64
Ivana Pujol Muñoz,January,2026-01-14,E,7540,806,4,29,51,9425,100.54
Garazi Iraia Díaz,January,2026-01-14,E,6815,367,3,30,17,8519,90.88
Enith Urruzola Elexpuru,January,2026-01-14,E,7086,533,3,39,30,8858,94.49
Amaiur Putellas Sampedro,January,2026-01-14,E,6444,336,6,10,20,8055,85.93
Garazi Gil Padrón,January,2026-01-14,E,7043,676,2,23,16,8804,93.92
Adriana Putellas Coll,January,2026-01-14,E,7606,419,0,12,37,9508,101.42
Lola Zubeldia Ojeda,January,2026-01-14,E,6696,428,5,44,26,8370,89.29
Inés Rius Badiola,January,2026-01-15,E,2021,122,1,18,47,2526,26.95
Berta Damaris Zubeldia,January,2026-01-15,E,2139,186,7,13,28,2673,28.52
Triana Duggan Cano,January,2026-01-15,E,5288,620,6,22,44,6610,70.51
Feller Caldentey Rubio,January,2026-01-15,E,5034,316,3,40,50,6293,67.13
Olga Sampedro Méndez,January,2026-01-15,E,5796,484,3,25,18,7245,77.28
Esther Banini Valls,January,2026-01-15,E,6240,471,3,27,14,7800,83.2
Amaia Gutiérrez Peña,January,2026-01-15,E,7411,655,3,34,57,9263,98.81
Lucía Rodríguez Szymanowski,January,2026-01-15,E,7451,893,1,55,44,9314,99.36
Sheila Vidal Gabarro,January,2026-01-15,E,7357,882,5,25,27,9196,98.09
Enith Landaluze Goiria,January,2026-01-15,E,6358,619,4,51,50,7948,84.78
Lorena Méndez Molina,January,2026-01-15,E,6160,612,0,37,19,7700,82.14
Ivana Pujol Muñoz,January,2026-01-15,E,7250,712,7,45,56,9062,96.67
Garazi Iraia Díaz,January,2026-01-15,E,7371,871,1,18,46,9214,98.29
Enith Urruzola Elexpuru,January,2026-01-15,E,7599,435,6,39,45,9499,101.33
Amaiur Putellas Sampedro,January,2026-01-15,E,7520,674,0,13,28,9400,100.27
Garazi Gil Padrón,January,2026-01-15,E,7390,631,0,45,51,9238,98.54
Adriana Putellas Coll,January,2026-01-15,E,6727,466,3,52,27,8409,89.71
Inés Rius Badiola,January,2026-01-16,E,3121,192,2,53,44,3901,41.61
Berta Damaris Zubeldia,January,2026-01-16,E,2747,263,4,45,29,3433,36.63
Triana Duggan Cano,January,2026-01-16,E,6106,511,6,24,23,7633,81.42
Feller Caldentey Rubio,January,2026-01-16,E,6211,377,0,58,51,7764,82.82
Olga Sampedro Méndez,January,2026-01-16,E,5281,542,1,12,43,6602,70.43
Esther Banini Valls,January,2026-01-16,E,6022,350,5,25,50,7528,80.3
Amaia Gutiérrez Peña,January,2026-01-16,E,7103,716,5,54,20,8878,94.71
Lucía Rodríguez Szymanowski,January,2026-01-16,E,6734,628,3,36,13,8418,89.8
Sheila Vidal Gabarro,January,2026-01-16,E,6546,625,6,38,47,8183,87.29
Lorena Méndez Molina,January,2026-01-16,E,5405,326,1,51,10,6757,72.08
Ivana Pujol Muñoz,January,2026-01-16,E,7551,557,4,10,59,9439,100.69
Garazi Iraia Díaz,January,2026-01-16,E,6631,448,0,12,51,8289,88.43
Enith Urruzola Elexpuru,January,2026-01-16,E,7428,563,5,50,29,9286,99.05
Amaiur Putellas Sampedro,January,2026-01-16,E,6310,617,2,58,43,7887,84.13
Adriana Putellas Coll,January,2026-01-16,E,6646,341,7,23,45,8308,88.62
Lola Zubeldia Ojeda,January,2026-01-16,E,7045,513,3,26,22,8806,93.94
Inés Rius Badiola,January,2026-01-18,P,2773,280,5,25,51,3466,29.19
Berta Damaris Zubeldia,January,2026-01-18,P,2051,160,16,53,25,2563,21.59
Triana Duggan Cano,January,2026-01-18,P,11757,777,27,59,20,14696,123.76
Feller Caldentey Rubio,January,2026-01-18,P,11775,962,23,23,43,14719,123.95
Olga Sampedro Méndez,January,2026-01-18,P,11441,1100,12,39,54,14301,120.44
Esther Banini Valls,January,2026-01-18,P,12314,939,6,18,28,15392,129.62
Amaia Gutiérrez Peña,January,2026-01-18,P,13845,1306,24,55,33,17306,145.74
Lucía Rodríguez Szymanowski,January,2026-01-18,P,14321,1332,12,27,48,17901,150.75
Sheila Vidal Gabarro,January,2026-01-18,P,15216,1106,2,25,21,19020,160.17
Enith Landaluze Goiria,January,2026-01-18,P,13862,1152,29,24,13,17328,145.92
Lorena Méndez Molina,January,2026-01-18,P,10276,958,24,24,40,12845,108.17
Ivana Pujol Muñoz,January,2026-01-18,P,15357,948,14,53,34,19197,161.66
Garazi Iraia Díaz,January,2026-01-18,P,13286,1238,25,13,14,16607,139.86
Enith Urruzola Elexpuru,January,2026-01-18,P,12914,1457,14,54,41,16143,135.94
Amaiur Putellas Sampedro,January,2026-01-18,P,14871,1694,19,35,18,18589,156.54
Garazi Gil Padrón,January,2026-01-18,P,14867,1154,23,36,56,18583,156.5
Adriana Putellas Coll,January,2026-01-18,P,15148,1184,19,22,53,18936,159.46
Inés Rius Badiola,January,2026-01-19,E,2050,207,6,16,25,2562,27.33
